Text,IsHateSpeech
u justice department audited ferguson police department found 180 count excessive use police force africanamericans 20092014 addition found 7 email containing discriminatory language department computer federal government pursuing criminal case ferguson police department wonder bob mcculloch try defend one,0
something wrong audio,0
thats flat racist say one race cant represent another equally majority black voted white people mean black voted didnt vote best interest elected white official cant represent black voter put himher office,0
report inequality enforcement statistic found description httpagomogovvehiclestops2013reports161pdf questioning math please check teach basic algebra number proportional video scratch surface encourage supplemental research wish know,0
whats dislike white people offended thought racism wasnt issue anymorethink,1
come call black african american european american white,0
idiot reporter survey percent black involved following gang activity shoplifting car jacking robbery robbery assault teenage pregnancy,1
racism equally worthless full metal jacket,0
testtube please explain black get stopped searched white white get make 29 population get searched 69 time black make 67 population get searched 121 time pretty obvious white likely get searched want explain find someone team actually remembers basic grade school math could go wrong video seems already explained others seriously enjoy watching channel bias strong one almost made want unsubscribe,0
majority people ferguson african american elected official african american mayor city council police chief elected official people community stepping fill role,0
least favorite test tube video far,0
heard billionaire funded organised riot fucken suck joke,1
please slow cant tell sped m scully talking really quickly great video great information little fast,0
dont agree police action kill boy mean protest looting destroying neighbourhood stupid make people dont want support struggle,0
fucking savage protest sumthing real like government robbing sendin kid elegal war laughing stock america congrats,1
came read racist comment lol,0
sure people protesting actually protesting believe people taking advantage sad situation cause much chaos damage hurting community,0
need come togather,0
dont call peacefully protest burn car lol,0
section lady gentleman see black people misbehaving wonder would happen everyone rioted court decision go way,1
dirtbags including cnn,1
protester throwing stuff reporter,0
guy 034 got hard,0
watched kept muttering shoot shoot pull trigger rubber bullet hurt like mfer,1
send france,0
fun fact live ammo gun rubber slug,0
fucking brain dead let nazi police scum bag take,1
dis furgusun de unitid stateth murka retard start violent protest try pawn police state lie cop arrive,1
god bless police,0
usa land free baby hahahaha people living usa thankful everyday worse country earth,1
virginia,0
wow need get shit straight never weapon pointed one vid ready position due riot understandable course action one know anything,0
dumber people earth american,1
16 screw price crap think he cool disrespect american flag,1
shoot first ask question later hahahahahaha,1
police army,0
shot,1
true dictatorship let wait check coutries start sanctioning u government guess none country usa corrupted country world except russia china,1
im point think cop point gun know im told something provoked,0
techno party,0
awesome job law enforcement send disrupt tear islamic extremist radical america thanks,1
bad weapon discharged,1
obama show ho face city yet supported himsad,0
wait rioting people standing boredly sidewalk guy gun middle traffic,0
police cleaned mess quick nice,1
find satisfying reason,1
confederation ill back,0
gun use rubber bullet stupid russian news channel,1
perfect police,0
protester suck,1
rocket launcher take care lightly armored vehicle lol,1
bad riot shotgun loaded live round,1
time test police gun fire fire,1
buy ak47 shoot usa copa,1
ah beautiful,1
kill protester,1
think guy profiting standoff ’ caring one side,0
blue life let ’ matter send blm commie street,1
im cop protester steal destroy thing arent solving shit,1
see impose gunlaws fact even machine gun people could anything police car body protection like tank wanted say,0
shit serving medium concocts story white cop kill innocent black teenager bullshit get black community arm burn shit downmore story useless talking head get front camera least week see black white crime reported newsno national attention federal involvementwtf black men need stand father stop looking excuse fuck yall yall,1
video actually happen simply trying smear young man ’ image wanted rapper stole cigar nothing side video deserves death sentence also released new video officer wilson showing injury show officer wilson truthful incident perhaps need wait detail post bias video ’ going post video make sure accurate mention friend criminal stated brown giving black white witness nothing incident stated hand surrendering wilson shot,0
funny thing government trusted judge fucking disgusting,1
relevance marijuana autopsy show entry wound spread body close range spread would tight hitting region likely chest area long range spread would dispersed see report wound underside arm exposed arm raised gesture peace ie hand empty away body pose plus powder burn body far away,0
know crazy actually came across video bitcoin trying learn knew looked familiar took time look mike brown personal profile specifically soundcloud think guilty representing wrong light maybe stealing still didnt deserve die fact white people like continued insinuate ridiculous show clear lack empathy sympathy seems like animal think especially offensive looking back video 3 year later hiphop rnb black culture biggest thing medium still dont understand perspective say trayvon martin making lean video show ignorant truly well sprite fanta carbonated drink used making leannot tea,1
stefan like standup darren wilson though side event lose integrity give clean chit considering incompetent ferguson police turning,0
typical mindset white people white people deserved say people like sean hannity feuling fire prejudice racism dont let people influence want race war start marshall law,1
perform basic snatch grab robbery local convenience store turn strong arm robbery immigrant midget store clerk less 30 minute later get lit yahoo cop told get fuck middle road proceeded recognized fitting description assailant came radio talk mutherfuckin karma stealing shit warrant deadly force karma bitch fuck ability control direct measure decree aint mutherfucker put pant one leg time thats sure,1
sad watch youtube video get non biased report whats going ferguson thank,0
dude sure seems know good bit smoking weed hmmm according clown black man somewhat gang side factual based photo justified murder unarmed human ok mfer,1
injury cop get treated,0
wonder big crater thug brown made street met final shot melon get sew blm truth fact dont shit kitchen get right direction toilet,1
stefan fan rep river,0
corrupt police harmed safe defend self fighting back shooting dead get will ready cause catalyst fact citytowngovernmentusa catalyst pot boiling many year generation bring equalizer door step also purge feel effect,1
shocking truth come light,0
clearly racist shrill canadian vegatable plant life box ivory snow truly know nothing negro race,1
guy love guy spends 10 minute telus roll blunt,0
wheres taser gun need,0
stefan molyneux sir dumbest smart guy ever researcher research enitre history blackman america understand thing way detachted reality comical,1
yeah course go college money come pel majority negro drop half way semester,0
white folk always asked would cop something could ruin career answer know get away know chief fellow cop cover know white folk asshole like make excuse slim none chance trial kind always acquit,0
black want respect speak act dress like huxtable family want treated prejudice speak act dress like known gangster steal thing act like street,1
leaving information giving police report didnt ask info lying omission thats outright lyingbecause omitted information stupid lawyer,1
micheal brown asked got think shot black racist,0
ok dipshits dont care he 7 foot tall 600 pound 1 call backup 2 use pepper spray 3 use baton 4 use taser 5 wait backup 6 use gun saying go monkey blindfold hand tied behind back anyways preliminary autopsy showed shot 4 time less lethal area executed 2 gunshot wound head,1
deserved killed smoke weedlike fightingthrow gang sign allegedly stole cigar,0
great point thank trying calmly dissect praying truth come handle truth,0
cell phone video shown anymore get sorry message saying private,0
published aug 17 truth still uncovered know likelyyou cant assume know entire story investigated fed going investigate pd going back year case think going know time go assuming know answer looked microscope misleading people,0
guess youve never done anything wrong life according analysis police right shoot six time make sure dead already dead proud officer tell everything hope child,0
look like medium come bogus clam cause division side thing question isnt much dont people see truth government planing medium fueling,0
stephan ive watching quite first post truth henry kissinger would interested hearing opinion man ty,0
intellectual mature approach case 1 black man 32 many older black men prison dead stuck matrix truthers struggling older men guide younger male often encounter police without understanding deal cop many role model come rapper advocate violence police deer caught headlight potential life death encounter racism 2 many black people ranting hate crime clearly assaulted store clerk indicates propensity violence wilson stop pointing finger address problem black teen lack male role model 3with said black people need address alternative dealing suspectsvictims nonlethal weaponry deal encounter race start focus solution possible violent encounter alternative see progress police 4 cant go protest burn community retalitation police support theory brown product violent environment burning business going solve problem police department counterproductive 5it hoax,0
freaking 2014 people still racist police still awful,1
get shot 3 time inside right arm palm hand didnt hand surrender position thats consistent charging officer consistent eye witness account said surrendering,0
great video although wish wouldve focused shit police thats thing keeping rioter supporter complete idiot,1
going viral already viewed 100000 police u,0
thug going college black people always cry american indian dont see one cry,1
guy get high lot,0
michael brown 13th person shot week u others notice almost share something common httptftppullfreethoughtllcnetdnacdncomwpcontentuploads201411murderedbypolicejpg,0
character matter unarmed killed hand damn could arrested kill fuck let oj get away murder kill boy stealing cigar,0
bullshit best place live america completely liberal worst place live america overwhelmingly republican fact jack,1
internet trolling time high,0
want shoot hardly wait till one kid get trouble police get killed,1
another great video thanks putting one right away thinking thru usual sad young turk channel went cliche everything without thinking made look like bunch hypocrite,0
blunt addiction tobacco blunt keep calling another play race card,0
cop need given wide latitude self defense considering threat face incapacitated high chance executed dam gunnoone seems care shit,1
since know never held hand anyone raise hand show police ferguson racist scumbag watch tv count lot racist scumbags,1
drug,0
interesting informative,0
hoax,0
also love show picture brown angel tug,1
2300 hear guy saying policeman stated 31 year service 8 officer died weapon one shoot execution style whatever fuck officer wilson let 300 pound guy run 150fthes big run fast assume shouldnt take 3040 ft tell brown freeze hell shoot b way tell,1
im black young woman like stefan think need people like country,0
death ti white devil,1
major difference zimmerman case one shooter zimmermans name withheld taken custody news medium able document zimmermans injury immediately case handled horribly lack immediate transparency even everything true po questioned coverup also community history police abuse missing video alleged abuse occurred response medium peaceful protester also showed complete lack understanding escalation unlike authority dealing potential zimmerman looting riot pd case attacked protester rather station near looting target protect business criminal always take opportunity distraction like storm blackout protest loot authority know know great propaganda protester seen cause looting rather pd failed protect business also illustrates 2nd amendment valuable business owner depended pd protection got looted business owner depended right bear arm looted,0
michael brown positively identified assailant store supposed robbery darren wilson aware robbery time encounter clearly racist unsubscribing,0
need search youtube actual cnn doctored audio michaelbrown shooting cnn caught changing evidence﻿,0
informative really appreciate video,0
forgot add timeline suspect also assaulted owner store threatens,0
great video levelheaded cogent fair unfortunately cognitive dissonance confirmation bias taken hold whole discussion breath fresh air thank stefan,0
